rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,A Bar Song (Tipsy),Shaboozey,17060.5717,16940.5717,120,1,36,33,36,2024-04-27,2024-12-28
2,I Had Some Help,Post Malone,16794.9830,16674.9830,120,1,32,28,32,2024-05-25,2024-12-28
3,Espresso,Sabrina Carpenter,16409.1716,16334.1716,75,3,36,31,36,2024-04-27,2024-12-28
4,Lose Control,Teddy Swims,16217.1762,16097.1762,120,1,52,45,51,2024-01-06,2024-12-28
5,Beautiful Things,Benson Boone,15848.9745,15773.9745,75,2,48,30,48,2024-02-03,2024-12-28
6,Not Like Us,Kendrick Lamar,15839.9958,15719.9958,120,1,33,21,32,2024-05-18,2024-12-28
7,Birds Of A Feather,Billie Eilish,15634.0776,15559.0776,75,2,31,20,31,2024-06-01,2024-12-28
8,Million Dollar Baby,Tommy Richman,15480.3215,15405.3215,75,2,31,17,30,2024-05-11,2024-12-07
9,Too Sweet,Hozier,15299.5913,15179.5913,120,1,39,19,38,2024-04-06,2024-12-28
10,Lovin On Me,Jack Harlow,15008.2359,14888.2359,120,1,32,17,31,2024-01-06,2024-08-10
11,Please Please Please,Sabrina Carpenter,14641.4553,14521.4553,120,1,27,19,25,2024-06-22,2024-12-21
12,"Good Luck, Babe!",Chappell Roan,14542.7810,14502.7810,40,4,37,14,30,2024-04-20,2024-12-28
13,I Remember Everything,Zach Bryan,14199.7913,14159.7913,40,4,35,12,35,2024-01-06,2024-08-31
14,Like That,"Future, Metro Boomin",13691.7015,13571.7015,120,1,31,7,29,2024-04-06,2024-11-02
15,Stick Season,Noah Kahan,13094.5929,13079.5929,15,9,40,3,36,2024-01-06,2024-10-05
16,Greedy,Tate Mcrae,13063.0219,12988.0219,75,3,28,12,24,2024-01-06,2024-07-13
17,Saturn,Sza,13027.4306,13012.4306,15,6,35,2,35,2024-03-09,2024-11-02
18,Cowgirls,Morgan Wallen,12549.4719,12549.4719,0,12,29,0,27,2024-05-18,2024-11-30
19,Miles On It,Marshmello,12050.0254,12050.0254,0,15,29,0,29,2024-05-18,2024-11-30
20,Pink Skies,Zach Bryan,12028.7041,12013.7041,15,6,25,2,24,2024-06-08,2024-11-23
21,Agora Hills,Doja Cat,11986.6009,11971.6009,15,7,26,7,21,2024-01-06,2024-06-29
22,Austin,Dasha,11625.1238,11625.1238,0,18,36,0,27,2024-03-23,2024-11-23
23,Cruel Summer,Taylor Swift,11588.7936,11513.7936,75,2,21,11,20,2024-01-06,2024-05-25
24,We Can't Be Friends (Wait For Your Love),Ariana Grande,11541.2660,11421.2660,120,1,24,6,22,2024-03-23,2024-08-31
25,Ain't No Love In Oklahoma,Luke Combs,11529.4661,11529.4661,0,13,27,0,25,2024-06-01,2024-11-30
26,Die With A Smile,Lady Gaga,11234.7283,11159.7283,75,2,18,18,18,2024-08-31,2024-12-28
