rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Bleeding Love,Leona Lewis,15730.4303,15610.4303,120,1,39,20,33,2008-03-01,2008-11-22
2,Low,Flo Rida,15318.7470,15198.7470,120,1,32,17,28,2008-01-05,2008-08-09
3,Disturbia,Rihanna,15043.0761,14923.0761,120,1,26,14,26,2008-07-05,2008-12-27
4,Lollipop,Lil Wayne,14982.8889,14862.8889,120,1,28,19,25,2008-03-29,2008-10-04
5,Love Song,Sara Bareilles,14938.2755,14898.2755,40,4,34,19,30,2008-01-05,2008-08-23
6,Forever,Chris Brown,14781.5780,14706.5780,75,2,33,15,32,2008-05-10,2008-12-20
7,Viva La Vida,Coldplay,14695.2000,14575.2000,120,1,32,16,31,2008-05-24,2008-12-27
8,With You,Chris Brown,14455.1348,14380.1348,75,2,26,16,25,2008-01-05,2008-06-28
9,No Air,Jordin Sparks Duet,14452.6798,14377.6798,75,3,35,16,28,2008-01-19,2008-09-13
10,Apologize,Timbaland,13980.7946,13905.7946,75,3,27,13,26,2008-01-05,2008-07-05
11,Take A Bow,Rihanna,13515.6724,13395.6724,120,1,27,16,22,2008-04-26,2008-10-25
12,Don't Stop The Music,Rihanna,13365.3715,13290.3715,75,3,26,10,24,2008-01-05,2008-06-28
13,Love In This Club,Usher,13300.2505,13180.2505,120,1,25,16,22,2008-03-01,2008-08-16
14,Sexy Can I,Ray J,13267.0067,13192.0067,75,3,26,14,23,2008-02-16,2008-08-09
15,Pocketful Of Sunshine,Natasha Bedingfield,13010.2251,12970.2251,40,5,35,11,26,2008-02-09,2008-10-25
16,Closer,Ne-yo,12956.2713,12941.2713,15,7,35,9,28,2008-05-03,2008-12-27
17,No One,Alicia Keys,12833.0172,12758.0172,75,2,24,11,22,2008-01-05,2008-06-14
18,I Kissed A Girl,Katy Perry,12377.5864,12257.5864,120,1,23,14,21,2008-05-24,2008-10-25
19,I'm Yours,Jason Mraz,12340.6973,12325.6973,15,6,35,7,23,2008-05-03,2008-12-27
20,Leavin',Jesse Mccartney,12103.7835,12088.7835,15,10,24,3,23,2008-05-10,2008-10-18
21,Dangerous,Kardinal Offishall,11623.8173,11583.8173,40,5,27,8,21,2008-05-24,2008-11-22
22,See You Again,Miley Cyrus,11305.0315,11290.0315,15,10,25,1,21,2008-01-05,2008-06-21
23,Whatever You Like,T.i,11215.1837,11095.1837,120,1,19,17,17,2008-08-23,2008-12-27
24,Got Money,Lil Wayne,11089.8261,11074.8261,15,10,27,1,22,2008-06-14,2008-12-13
25,Stop And Stare,Onerepublic,11001.2279,11001.2279,0,12,30,0,21,2008-01-05,2008-07-26
26,Shake It,Metro Station,10982.2024,10967.2024,15,10,30,1,22,2008-04-19,2008-11-08
27,So What,P!nk,10537.3996,10417.3996,120,1,17,15,17,2008-09-06,2008-12-27
28,Can't Believe It,T-pain,10298.6192,10283.6192,15,7,20,6,20,2008-08-16,2008-12-27
29,A Milli,Lil Wayne,10291.2307,10276.2307,15,6,23,5,18,2008-05-10,2008-10-11
30,Damaged,Danity Kane,10263.2782,10248.2782,15,10,22,2,20,2008-03-29,2008-08-23
31,Bust It Baby Part 2,Plies,10155.5506,10140.5506,15,7,22,4,19,2008-04-12,2008-09-06
32,Paper Planes,M.i.a,10055.5943,10015.5943,40,4,20,10,18,2008-08-02,2008-12-13
33,Hot N Cold,Katy Perry,10029.0726,9954.0726,75,3,20,13,16,2008-07-05,2008-12-27
34,Sorry,Buckcherry,10006.4474,9991.4474,15,9,22,3,19,2008-01-05,2008-05-31
35,Touch My Body,Mariah Carey,9937.0758,9817.0758,120,1,20,8,17,2008-03-01,2008-07-12
36,Bubbly,Colbie Caillat,9812.8085,9797.8085,15,6,22,4,19,2008-01-05,2008-05-31
37,American Boy,Estelle,9720.2672,9705.2672,15,9,30,3,18,2008-05-03,2008-11-22
38,Better In Time,Leona Lewis,9661.4524,9661.4524,0,11,23,0,19,2008-04-26,2008-12-27
39,Paralyzer,Finger Eleven,9605.9212,9590.9212,15,6,22,5,19,2008-01-05,2008-05-31
40,What You Got,Colby O'donis,9588.9617,9588.9617,0,14,25,0,18,2008-03-15,2008-08-30
