rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Foolish Games/You Were Meant For Me,Jewel,15935.5486,15860.5486,75,2,52,28,52,1997-01-04,1997-12-27
2,How Do I Live,Leann Rimes,15553.1387,15478.1387,75,2,28,21,26,1997-06-21,1997-12-27
3,Quit Playing Games (With My Heart),Backstreet Boys,15180.4909,15105.4909,75,2,27,18,27,1997-06-28,1997-12-27
4,I'll Be Missing You,Puff Daddy,15134.0338,15014.0338,120,1,29,17,29,1997-06-14,1997-12-27
5,Can't Nobody Hold Me Down,Puff Daddy,15069.5808,14949.5808,120,1,28,16,26,1997-01-25,1997-08-02
6,Return Of The Mack,Mark Morrison,14901.4849,14826.4849,75,2,40,15,33,1997-03-01,1997-11-29
7,Un-Break My Heart,Toni Braxton,14779.1442,14659.1442,120,1,32,16,27,1997-01-04,1997-08-09
8,Semi-Charmed Life,Third Eye Blind,14488.6901,14448.6901,40,4,26,14,26,1997-07-05,1997-12-27
9,"I Believe I Can Fly (From ""Space Jam"")",R. Kelly,14132.0394,14057.0394,75,2,31,14,28,1997-01-04,1997-08-02
10,"For You I Will (From ""Space Jam"")",Monica,13943.9371,13903.9371,40,4,32,12,30,1997-03-15,1997-10-18
11,Hard To Say I'm Sorry,Az Yet,13548.0885,13533.0885,15,8,34,5,32,1997-02-22,1997-10-11
12,Don't Let Go (Love),En Vogue,13502.5426,13427.5426,75,2,27,12,25,1997-01-04,1997-07-05
13,Bitch,Meredith Brooks,13307.7871,13232.7871,75,2,30,11,25,1997-04-26,1997-11-15
14,I Want You,Savage Garden,13055.9094,13015.9094,40,4,33,8,26,1997-03-01,1997-10-11
15,Wannabe,Spice Girls,13047.9294,12927.9294,120,1,23,15,22,1997-01-25,1997-06-28
16,The Freshmen,The Verve Pipe,12819.4678,12779.4678,40,5,42,6,29,1997-02-22,1997-12-06
17,Do You Know (What It Takes),Robyn,12525.9933,12510.9933,15,7,28,8,26,1997-05-31,1997-12-06
18,Every Time I Close My Eyes,Babyface,12325.3147,12310.3147,15,6,26,9,23,1997-02-01,1997-07-26
19,Barely Breathing,Duncan Sheik,12287.5199,12287.5199,0,16,50,0,42,1997-01-04,1997-12-13
20,All For You,Sister Hazel,12207.4699,12207.4699,0,11,25,0,25,1997-07-12,1997-12-27
21,Mo Money Mo Problems,The Notorious B.i.g,12176.4616,12056.4616,120,1,22,12,22,1997-08-02,1997-12-27
22,You Make Me Wanna...,Usher,11841.6798,11766.6798,75,2,19,17,19,1997-08-23,1997-12-27
23,G.H.E.T.T.O.U.T.,Changing Faces,11815.8051,11800.8051,15,8,25,5,22,1997-05-10,1997-10-25
