rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Stranger On The Shore,Mr. Acker Bilk,9837.2731,9717.2731,120,1,21,11,15,1962-03-17,1962-08-04
2,I Can't Stop Loving You,Ray Charles,9255.2037,9135.2037,120,1,18,11,14,1962-05-05,1962-09-01
3,Mashed Potato Time,Dee Dee Sharp,8855.7636,8780.7636,75,2,18,9,15,1962-03-03,1962-06-30
4,Roses Are Red (My Love),Bobby Vinton,8304.2871,8184.2871,120,1,15,10,13,1962-06-09,1962-09-15
5,The Stripper,David Rose And His Orchestra,8065.0904,7945.0904,120,1,17,9,13,1962-05-12,1962-09-01
6,Johnny Angel,Shelley Fabares,7947.6175,7827.6175,120,1,15,9,13,1962-03-03,1962-06-09
7,Ramblin' Rose,Nat King Cole,7739.5686,7664.5686,75,2,16,8,13,1962-08-04,1962-11-17
8,The Twist,Chubby Checker,7714.6094,7594.6094,120,1,14,9,12,1962-01-06,1962-04-07
9,The Loco-Motion,Little Eva,7689.3348,7569.3348,120,1,16,7,12,1962-06-30,1962-10-13
10,He's A Rebel,The Crystals,7669.8439,7549.8439,120,1,17,7,12,1962-09-08,1962-12-29
11,Soldier Boy,The Shirelles,7659.3657,7539.3657,120,1,14,8,13,1962-03-24,1962-06-23
12,Limbo Rock,Chubby Checker,7554.4903,7479.4903,75,2,17,8,12,1962-09-08,1962-12-29
13,Sherry,The 4 Seasons,7528.5531,7408.5531,120,1,14,7,12,1962-08-25,1962-11-24
14,Hey! Baby,Bruce Channel,7519.5959,7399.5959,120,1,15,8,12,1962-01-27,1962-05-05
15,Duke Of Earl,Gene Chandler,7455.9995,7335.9995,120,1,15,8,11,1962-01-13,1962-04-21
16,The Wanderer,Dion,7420.9744,7345.9744,75,2,14,7,13,1962-01-06,1962-04-07
17,Breaking Up Is Hard To Do,Neil Sedaka,7353.0546,7233.0546,120,1,14,7,12,1962-06-30,1962-09-29
18,Palisades Park,Freddy Cannon,7227.5290,7152.5290,75,3,15,7,12,1962-05-12,1962-08-18
19,Let Me In,The Sensations,7202.6439,7162.6439,40,4,18,4,12,1962-01-06,1962-05-05
20,Monster Mash,"Bobby ""boris"" Pickett And The Crypt-kickers",7123.4191,7003.4191,120,1,14,7,12,1962-09-08,1962-12-08
21,All Alone Am I,Brenda Lee,7105.5974,7030.5974,75,3,14,7,12,1962-09-29,1962-12-29
22,Good Luck Charm,Elvis Presley,7075.7667,6955.7667,120,1,13,7,11,1962-03-17,1962-06-09
23,Slow Twistin',Chubby Checker,7045.6763,6970.6763,75,3,14,7,12,1962-03-03,1962-06-02
24,Green Onions,Booker T,6977.2765,6902.2765,75,3,16,6,12,1962-08-11,1962-11-24
25,Do You Love Me,The Contours,6971.5039,6896.5039,75,3,18,5,11,1962-08-11,1962-12-08
26,Alley Cat,Bent Fabric And His Piano,6937.4211,6922.4211,15,7,18,3,12,1962-07-28,1962-11-24
27,It Keeps Right On A-Hurtin',Johnny Tillotson,6935.0409,6860.0409,75,3,14,6,12,1962-05-12,1962-08-11
28,Sheila,Tommy Roe,6928.0206,6808.0206,120,1,14,6,11,1962-07-28,1962-10-27
29,Midnight In Moscow,Kenny Ball And His Jazzmen,6874.5482,6799.5482,75,2,14,7,12,1962-02-03,1962-05-05
30,Peppermint Twist - Part I,Joey Dee,6835.6130,6715.6130,120,1,12,9,10,1962-01-06,1962-03-24
31,Patches,Dickey Lee,6723.8548,6708.8548,15,6,14,7,11,1962-08-25,1962-11-24
32,Wolverton Mountain,Claude King,6701.0412,6686.0412,15,6,16,4,11,1962-05-26,1962-09-08
33,Only Love Can Break A Heart,Gene Pitney,6656.9366,6581.9366,75,2,14,4,11,1962-09-15,1962-12-15
34,The Wah Watusi,The Orlons,6643.4340,6568.4340,75,2,14,6,11,1962-06-09,1962-09-08
35,Big Girls Don't Cry,The 4 Seasons,6538.3920,6418.3920,120,1,11,9,10,1962-10-20,1962-12-29
36,Break It To Me Gently,Brenda Lee,6473.4715,6433.4715,40,4,13,7,11,1962-01-13,1962-04-07
37,Sealed With A Kiss,Brian Hyland,6469.7335,6394.7335,75,3,14,6,11,1962-06-09,1962-09-08
