rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,(They Long To Be) Close To You,Carpenters,9214.6466,9094.6466,120,1,17,11,15,1970-06-20,1970-10-10
2,I'll Be There,Jackson 5,9018.9015,8898.9015,120,1,15,11,15,1970-09-19,1970-12-26
3,Band Of Gold,Freda Payne,8914.0430,8839.0430,75,3,20,8,15,1970-04-25,1970-09-05
4,Get Ready,Rare Earth,8821.4294,8781.4294,40,4,20,5,17,1970-03-14,1970-07-25
5,We've Only Just Begun,Carpenters,8355.5787,8280.5787,75,2,16,9,13,1970-09-12,1970-12-26
6,Bridge Over Troubled Water,Simon,8273.6930,8153.6930,120,1,14,10,13,1970-02-07,1970-05-09
7,Let It Be,The Beatles,8261.3249,8141.3249,120,1,14,11,13,1970-03-21,1970-06-20
8,American Woman/No Sugar Tonight,The Guess Who,8193.6231,8073.6231,120,1,15,8,14,1970-03-21,1970-06-27
9,Make It With You,Bread,8149.2995,8029.2995,120,1,17,10,13,1970-06-13,1970-10-03
10,War,Edwin Starr,8118.8558,7998.8558,120,1,15,8,13,1970-07-11,1970-10-17
11,Hitchin' A Ride,Vanity Fare,8072.6361,8032.6361,40,5,22,4,14,1970-03-21,1970-08-15
12,Candida,Dawn,7936.2575,7861.2575,75,3,18,8,13,1970-07-25,1970-11-21
13,Mama Told Me (Not To Come),Three Dog Night,7928.8572,7808.8572,120,1,15,9,13,1970-05-23,1970-08-29
14,Spirit In The Sky,Norman Greenbaum,7889.2659,7814.2659,75,3,15,8,14,1970-02-28,1970-06-06
15,Fire And Rain,James Taylor,7861.2432,7786.2432,75,3,16,8,14,1970-09-12,1970-12-26
16,Ain't No Mountain High Enough,Diana Ross,7846.5285,7726.5285,120,1,14,9,13,1970-08-08,1970-11-07
17,Cracklin' Rosie,Neil Diamond,7814.1275,7694.1275,120,1,15,7,14,1970-08-22,1970-11-28
18,Ball Of Confusion (That's What The World Is Today),The Temptations,7763.5986,7688.5986,75,3,15,9,13,1970-05-23,1970-08-29
19,Raindrops Keep Fallin' On My Head,B.j. Thomas,7751.7006,7631.7006,120,1,13,10,13,1970-01-03,1970-03-28
20,Spill The Wine,Eric Burdon And War,7658.9897,7583.9897,75,3,21,7,13,1970-05-23,1970-10-10
21,ABC,Jackson 5,7577.0581,7457.0581,120,1,13,9,12,1970-03-14,1970-06-06
22,Green-Eyed Lady,Sugarloaf,7567.9369,7492.9369,75,3,17,8,12,1970-08-15,1970-12-05
23,Love On A Two-Way Street,The Moments,7547.7101,7472.7101,75,3,15,5,14,1970-04-11,1970-07-18
24,The Love You Save/I Found That Girl,Jackson 5,7445.4076,7325.4076,120,1,13,9,12,1970-05-30,1970-08-22
25,Everything Is Beautiful,Ray Stevens,7424.2710,7304.2710,120,1,15,6,13,1970-04-04,1970-07-11
26,Lay Down (Candles In The Rain),Melanie,7409.2451,7394.2451,15,6,17,6,14,1970-04-25,1970-08-15
27,All Right Now,Free,7335.3872,7295.3872,40,4,16,6,13,1970-08-15,1970-11-28
28,Which Way You Goin' Billy?,The Poppy Family,7196.5222,7121.5222,75,2,17,5,13,1970-03-28,1970-07-18
29,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,7188.1594,7113.1594,75,3,14,6,13,1970-06-27,1970-09-26
30,Indiana Wants Me,R. Dean Taylor,7153.5211,7113.5211,40,5,15,6,13,1970-09-05,1970-12-12
31,"Julie, Do Ya Love Me",Bobby Sherman,7132.8724,7092.8724,40,5,15,6,13,1970-08-01,1970-11-07
32,I Want You Back,Jackson 5,7073.8798,6953.8798,120,1,12,8,12,1970-01-03,1970-03-21
33,Instant Karma (We All Shine On),John Ono Lennon,7036.3734,6961.3734,75,3,13,8,12,1970-02-28,1970-05-23
34,Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly,6920.4895,6800.4895,120,1,13,7,12,1970-01-03,1970-03-28
35,Lookin' Out My Back Door/Long As I Can See The Light,Creedence Clearwater Revival,6877.0253,6802.0253,75,2,13,7,12,1970-08-08,1970-10-31
36,Ride Captain Ride,Blues Image,6852.6772,6812.6772,40,4,15,5,12,1970-05-09,1970-08-15
37,Patches,Clarence Carter,6756.1595,6716.1595,40,4,14,6,12,1970-07-18,1970-10-17
38,Love Grows (Where My Rosemary Goes),Edison Lighthouse,6739.0969,6699.0969,40,5,13,7,12,1970-02-21,1970-05-16
39,Rainy Night In Georgia/Rubberneckin',Brook Benton,6616.7719,6576.7719,40,4,15,5,12,1970-01-10,1970-04-18
40,Hey There Lonely Girl,Eddie Holman,6585.3292,6510.3292,75,2,13,6,12,1970-01-03,1970-03-28
41,Venus,The Shocking Blue,6581.7911,6461.7911,120,1,11,9,11,1970-01-03,1970-03-14
42,Gypsy Woman,Brian Hyland,6557.9297,6482.9297,75,3,17,7,10,1970-09-05,1970-12-26
43,The Rapper,The Jaggerz,6521.6576,6446.6576,75,2,13,6,11,1970-01-31,1970-04-25
44,Give Me Just A Little More Time,Chairman Of The Board,6506.3226,6431.3226,75,3,15,4,12,1970-01-17,1970-04-25
45,O-o-h Child/Dear Prudence,The 5 Stairsteps,6439.6864,6424.6864,15,8,16,4,11,1970-05-02,1970-08-29
46,Cecilia,Simon,6342.8542,6302.8542,40,4,13,5,12,1970-04-11,1970-07-04
47,In The Summertime,Mungo Jerry,6295.9631,6220.9631,75,3,13,6,11,1970-07-11,1970-10-03
48,Reflections Of My Life,The Marmalade,6288.8912,6273.8912,15,10,15,3,11,1970-03-14,1970-06-20
49,I Think I Love You,The Partridge Family Starring Shirley Jones,6277.7992,6157.7992,120,1,12,8,9,1970-10-10,1970-12-26
50,Turn Back The Hands Of Time,Tyrone Davis,6272.0090,6197.0090,75,3,13,6,11,1970-03-21,1970-06-13
51,Snowbird,Anne Murray,6237.0229,6222.0229,15,8,16,2,11,1970-07-18,1970-10-31
52,Something's Burning,Kenny Rogers,6201.9230,6201.9230,0,11,16,0,12,1970-02-14,1970-05-30
53,"Tighter, Tighter",Alive,6187.1017,6172.1017,15,7,14,4,10,1970-06-06,1970-09-05
54,Come And Get It,Badfinger,6154.2718,6139.2718,15,7,15,6,11,1970-02-07,1970-05-16
55,"He Ain't Heavy, He's My Brother",The Hollies,6088.9174,6073.9174,15,7,16,4,11,1970-01-03,1970-04-18
56,25 Or 6 To 4,Chicago,5962.8106,5922.8106,40,4,12,5,11,1970-07-25,1970-10-10
57,The Tears Of A Clown,Smokey Robinson,5954.1013,5834.1013,120,1,11,7,9,1970-10-17,1970-12-26
58,"Easy Come, Easy Go",Bobby Sherman,5939.4917,5924.4917,15,9,14,2,11,1970-02-07,1970-05-09
59,Lola,The Kinks,5932.2352,5917.2352,15,9,14,3,12,1970-08-29,1970-11-28
60,(I Know) I'm Losing You,Rare Earth,5898.0502,5883.0502,15,7,14,3,11,1970-08-01,1970-10-31
61,Montego Bay,Bobby Bloom,5824.4052,5809.4052,15,8,16,2,11,1970-09-12,1970-12-26
62,House Of The Rising Sun,Frijid Pink,5817.1432,5802.1432,15,7,13,2,11,1970-02-07,1970-05-02
63,Love Or Let Me Be Lonely,The Friends Of Distinction,5804.3739,5789.3739,15,6,13,4,11,1970-03-07,1970-05-30
64,Make Me Smile,Chicago,5728.0685,5713.0685,15,9,14,2,11,1970-04-04,1970-07-04
65,Up Around The Bend/Run Through The Jungle,Creedence Clearwater Revival,5704.7693,5664.7693,40,4,11,5,10,1970-04-25,1970-07-04
66,The Long And Winding Road/For You Blue,The Beatles,5686.1334,5566.1334,120,1,10,6,10,1970-05-23,1970-07-25
67,Express Yourself,Charles Wright And The Watts 103rd Street Rhythm Band,5676.6031,5676.6031,0,12,15,0,10,1970-08-15,1970-11-21
68,Still Water (Love),Four Tops,5666.3743,5666.3743,0,11,14,0,10,1970-08-29,1970-11-28
69,Arizona,Mark Lindsay,5640.6794,5625.6794,15,10,12,1,11,1970-01-03,1970-03-21
70,No Time,The Guess Who,5619.5615,5579.5615,40,5,12,4,10,1970-01-03,1970-03-21
71,My Baby Loves Lovin',White Plains,5588.3818,5588.3818,0,13,15,0,10,1970-04-18,1970-07-25
