rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Where My Girls At?,702,14980.9119,14940.9119,40,4,35,19,33,1999-05-01,1999-12-25
2,No Scrubs,Tlc,14975.4015,14855.4015,120,1,28,17,25,1999-02-20,1999-08-28
3,Kiss Me,Sixpence None The Richer,14760.6213,14685.6213,75,2,32,16,28,1999-02-13,1999-09-18
4,Believe,Cher,14622.8068,14502.8068,120,1,29,16,25,1999-01-02,1999-07-17
5,Every Morning,Sugar Ray,14188.4705,14113.4705,75,3,31,13,27,1999-01-09,1999-08-07
6,Slide,Goo Goo Dolls,13973.7125,13958.7125,15,8,31,8,30,1999-01-02,1999-07-31
7,I Want It That Way,Backstreet Boys,13875.3749,13860.3749,15,6,31,11,30,1999-04-24,1999-11-20
8,Genie In A Bottle,Christina Aguilera,13814.6480,13694.6480,120,1,25,14,23,1999-07-03,1999-12-18
9,All Star,Smash Mouth,13786.9628,13746.9628,40,4,30,12,27,1999-05-22,1999-12-11
10,Angel Of Mine,Monica,13771.5964,13651.5964,120,1,26,15,25,1999-01-02,1999-06-26
11,...Baby One More Time,Britney Spears,13489.1840,13369.1840,120,1,26,11,23,1999-01-02,1999-06-26
12,Heartbreak Hotel,Whitney Houston,12967.6780,12892.6780,75,2,27,15,21,1999-01-02,1999-07-03
13,If You Had My Love,Jennifer Lopez,12858.3457,12738.3457,120,1,25,15,20,1999-05-15,1999-10-30
14,Someday,Sugar Ray,12640.2515,12625.2515,15,7,26,7,24,1999-07-03,1999-12-25
15,Unpretty,Tlc,12514.9299,12394.9299,120,1,27,14,19,1999-06-26,1999-12-25
16,Smooth,Santana,12264.3099,12144.3099,120,1,22,17,19,1999-07-31,1999-12-25
17,Angel,Sarah Mclachlan,12185.5378,12145.5378,40,4,24,8,23,1999-01-02,1999-06-12
18,Scar Tissue,Red Hot Chili Peppers,11565.8641,11550.8641,15,9,29,4,20,1999-06-05,1999-12-18
19,Fortunate,Maxwell,11462.3420,11422.3420,40,4,25,9,21,1999-04-10,1999-09-25
20,Livin' La Vida Loca,Ricky Martin,11062.1651,10942.1651,120,1,20,14,17,1999-04-17,1999-08-28
21,Save Tonight,Eagle-eye Cherry,10870.1346,10830.1346,40,5,24,4,21,1999-01-02,1999-06-12
22,Fly Away,Lenny Kravitz,10299.3405,10299.3405,0,12,28,0,22,1999-01-02,1999-07-10
23,All I Have To Give,Backstreet Boys,10298.5726,10258.5726,40,5,21,9,19,1999-01-30,1999-06-19
24,She's So High,Tal Bachman,10275.8696,10275.8696,0,14,28,0,20,1999-06-19,1999-12-25
25,The Hardest Thing,98 Degrees,10203.9880,10163.9880,40,5,24,3,19,1999-03-27,1999-09-04
26,What It's Like,Everlast,10193.4877,10193.4877,0,13,31,0,19,1999-01-02,1999-07-31
27,Mambo No. 5 (A Little Bit Of...),Lou Bega,10169.5931,10094.5931,75,3,18,12,17,1999-08-28,1999-12-25
28,"Bills, Bills, Bills",Destiny's Child,10016.8075,9896.8075,120,1,20,10,16,1999-06-19,1999-10-30
29,Last Kiss,Pearl Jam,9996.9792,9921.9792,75,2,21,10,15,1999-05-29,1999-10-16
30,Sweet Lady,Tyrese,9926.9501,9926.9501,0,12,25,0,19,1999-01-23,1999-07-10
31,Have You Ever?,Brandy,9689.7379,9569.7379,120,1,18,10,18,1999-01-02,1999-05-01
32,That Don't Impress Me Much,Shania Twain,9580.8235,9565.8235,15,7,28,4,16,1999-01-23,1999-08-14
33,Anywhere,112,9513.0959,9513.0959,0,15,25,0,18,1999-03-20,1999-09-04
34,Bailamos,Enrique Iglesias,9404.3090,9284.3090,120,1,20,6,16,1999-07-10,1999-11-20
35,Black Balloon,Goo Goo Dolls,9182.2395,9182.2395,0,16,25,0,17,1999-07-10,1999-12-25
36,Nobody's Supposed To Be Here,Deborah Cox,9117.0598,9042.0598,75,2,16,12,15,1999-01-02,1999-04-17
37,Steal My Sunshine,Len,9037.6619,9022.6619,15,9,20,3,16,1999-08-14,1999-12-25
38,Back At One,Brian Mcknight,8841.1357,8766.1357,75,2,18,8,15,1999-08-28,1999-12-25
39,Back That Thang Up,Juvenile,8796.9934,8796.9934,0,19,25,0,17,1999-07-10,1999-12-25
40,It's Not Right But It's Okay,Whitney Houston,8795.0500,8755.0500,40,4,20,5,15,1999-05-08,1999-09-18
