rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,It's All In The Game,Tommy Edwards,10829.3400,10709.3400,120,1,20,12,19,1958-08-18,1958-12-29
2,Chantilly Lace,Big Bopper,10209.1557,10194.1557,15,6,22,5,22,1958-08-04,1958-12-29
3,Rock-in Robin,Bobby Day,10106.1383,10031.1383,75,2,21,10,19,1958-08-04,1958-12-22
4,Bird Dog,The Everly Brothers,9122.3623,9047.3623,75,2,18,11,15,1958-08-04,1958-12-01
5,Little Star,The Elegants,8830.3933,8710.3933,120,1,17,9,15,1958-08-04,1958-11-24
6,It's Only Make Believe,Conway Twitty,8794.9847,8674.9847,120,1,16,10,14,1958-09-15,1958-12-29
7,Topsy II,Cozy Cole,8628.5195,8553.5195,75,3,19,8,14,1958-08-25,1958-12-29
8,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,8593.7407,8473.7407,120,1,16,10,13,1958-08-04,1958-11-17
9,Tears On My Pillow,Little Anthony And The Imperials,8200.0648,8160.0648,40,4,19,8,14,1958-08-11,1958-12-15
10,Susie Darlin',Robin Luke,8106.9500,8066.9500,40,5,17,7,15,1958-08-11,1958-12-01
11,Tea For Two Cha Cha,The Tommy Dorsey Orchestra,8062.1918,8047.1918,15,7,18,6,14,1958-09-01,1958-12-29
12,Tom Dooley,The Kingston Trio,7979.3034,7859.3034,120,1,14,11,13,1958-09-29,1958-12-29
13,Just A Dream,Jimmy Clanton And His Rockets,7659.7993,7619.7993,40,4,15,8,13,1958-08-04,1958-11-10
14,The End,Earl Grant,7468.4182,7453.4182,15,7,16,3,13,1958-09-15,1958-12-29
15,"To Know Him, Is To Love Him",The Teddy Bears,7458.9926,7338.9926,120,1,15,8,12,1958-09-22,1958-12-29
16,Summertime Blues,Eddie Cochran,6517.1413,6502.1413,15,8,16,2,12,1958-08-04,1958-11-17
17,Patricia,Perez Prado And His Orchestra,6470.2046,6395.2046,75,2,14,6,11,1958-08-04,1958-11-03
18,My True Love,Jack Scott,6447.6167,6372.6167,75,3,14,6,11,1958-08-04,1958-11-03
19,Born Too Late,Poni-tails,6346.6831,6331.6831,15,7,14,3,11,1958-08-04,1958-11-03
20,Near You,Roger Williams,6274.6892,6259.6892,15,10,17,3,11,1958-08-18,1958-12-08
21,Devoted To You,The Everly Brothers,5972.9240,5957.9240,15,10,14,1,11,1958-08-11,1958-11-10
22,I Got A Feeling,Ricky Nelson,5790.7169,5775.7169,15,10,12,2,11,1958-10-13,1958-12-29
23,Lonesome Town,Ricky Nelson,5753.8578,5738.8578,15,7,11,7,10,1958-10-20,1958-12-29
24,Queen Of The Hop,Bobby Darin,5640.2388,5625.2388,15,9,13,3,10,1958-10-06,1958-12-29
25,Poor Little Fool,Ricky Nelson,5639.8167,5519.8167,120,1,11,6,9,1958-08-04,1958-10-13
26,Western Movies,The Olympics,5277.3295,5262.3295,15,8,12,2,10,1958-08-04,1958-10-20
27,How The Time Flies,Jerry Wallace,5269.7246,5269.7246,0,11,16,0,9,1958-08-18,1958-12-01
28,The Day The Rains Came,Jane Morgan,5210.9024,5210.9024,0,21,15,0,10,1958-09-22,1958-12-29
29,Pussy Cat,The Ames Brothers,5117.6249,5117.6249,0,17,14,0,10,1958-09-29,1958-12-29
30,Fever,Peggy Lee,5110.9564,5095.9564,15,8,12,3,10,1958-08-04,1958-10-20
31,Mexican Hat Rock,The Applejacks,5059.2505,5059.2505,0,16,15,0,9,1958-09-15,1958-12-22
32,A Lover's Question,Clyde Mcphatter,5021.5335,5006.5335,15,9,12,2,10,1958-10-06,1958-12-29
33,Beep Beep,The Playmates,5008.3696,4968.3696,40,4,9,7,8,1958-11-03,1958-12-29
34,Everybody Loves A Lover,Doris Day,4983.7905,4983.7905,0,14,12,0,9,1958-08-04,1958-10-20
35,You Cheated,The Shields,4980.6006,4980.6006,0,15,16,0,9,1958-08-25,1958-12-08
36,Are You Really Mine,Jimmie Rodgers,4891.0695,4876.0695,15,10,13,1,10,1958-08-04,1958-10-27
37,Forget Me Not,Kalin Twins,4714.9950,4714.9950,0,12,14,0,9,1958-09-29,1958-12-29
38,Call Me,Johnny Mathis,4708.8260,4708.8260,0,21,14,0,8,1958-09-29,1958-12-29
39,Stupid Cupid,Connie Francis,4699.9822,4699.9822,0,17,13,0,9,1958-08-04,1958-10-27
40,One Night,Elvis Presley,4657.7061,4617.7061,40,4,8,6,8,1958-11-10,1958-12-29
