rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Mack The Knife,Bobby Darin,11227.1242,11107.1242,120,1,19,16,17,1959-08-22,1959-12-26
2,The Battle Of New Orleans,Johnny Horton,10934.2613,10814.2613,120,1,21,13,18,1959-04-25,1959-09-12
3,Mr. Blue,The Fleetwoods,9622.4328,9502.4328,120,1,17,11,16,1959-09-05,1959-12-26
4,My Heart Is An Open Book,"Carl Dobkins, Jr",9502.5903,9427.5903,75,3,24,7,16,1959-04-11,1959-09-26
5,Put Your Head On My Shoulder,Paul Anka,9025.7032,8950.7032,75,2,18,11,14,1959-08-29,1959-12-26
6,Personality,Lloyd Price And His Orchestra,8962.2832,8887.2832,75,2,19,10,14,1959-04-25,1959-08-29
7,Donna,Ritchie Valens,8931.5182,8856.5182,75,2,17,10,15,1959-01-03,1959-04-25
8,Stagger Lee,Lloyd Price,8765.0575,8645.0575,120,1,17,10,15,1959-01-03,1959-04-25
9,The Three Bells,The Browns,8640.7042,8520.7042,120,1,17,10,14,1959-07-25,1959-11-14
10,Primrose Lane,Jerry Wallace,8557.6826,8542.6826,15,8,20,5,15,1959-08-15,1959-12-26
11,Lonely Boy,Paul Anka,8555.4725,8435.4725,120,1,15,10,14,1959-05-30,1959-09-05
12,Venus,Frankie Avalon,8510.3751,8390.3751,120,1,17,10,14,1959-02-07,1959-05-30
13,Pink Shoe Laces,Dodie Stevens,8447.0043,8372.0043,75,3,19,8,14,1959-02-14,1959-06-20
14,Dream Lover,Bobby Darin,8345.8610,8270.8610,75,2,17,10,13,1959-04-18,1959-08-08
15,Sleep Walk,Santo,8152.7937,8032.7937,120,1,18,9,13,1959-07-25,1959-11-21
16,Sea Of Love,Phil Phillips,8148.4970,8073.4970,75,2,18,6,14,1959-07-04,1959-10-31
17,The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,8120.3538,8120.3538,0,11,19,0,15,1959-01-03,1959-05-09
18,There Goes My Baby,The Drifters,8069.6593,7994.6593,75,2,19,6,14,1959-05-30,1959-10-03
19,The Happy Organ,"Dave ""baby"" Cortez",8010.5024,7890.5024,120,1,17,7,14,1959-03-14,1959-07-04
20,What A Diff'rence A Day Makes,Dinah Washington,7900.8018,7885.8018,15,8,20,3,14,1959-05-23,1959-10-03
21,Don't You Know,Della Reese,7881.9061,7806.9061,75,2,15,8,13,1959-09-19,1959-12-26
22,('til) I Kissed You,The Everly Brothers,7865.2498,7825.2498,40,4,16,7,13,1959-08-15,1959-11-28
23,Lavender-Blue,Sammy Turner,7844.4443,7769.4443,75,3,18,6,14,1959-06-20,1959-10-17
24,16 Candles,The Crests,7790.0611,7715.0611,75,2,15,8,12,1959-01-03,1959-04-11
25,It's Just A Matter Of Time,Brook Benton,7788.5479,7713.5479,75,3,18,7,14,1959-01-24,1959-05-23
26,Come Softly To Me,The Fleetwoods,7684.4205,7564.4205,120,1,16,8,12,1959-03-07,1959-06-20
27,Red River Rock,Johnny And The Hurricanes,7647.8119,7607.8119,40,5,17,6,13,1959-08-01,1959-11-21
28,Lipstick On Your Collar,Connie Francis,7627.6573,7587.6573,40,5,17,6,12,1959-05-16,1959-09-05
29,Tragedy,Thomas Wayne,7581.1467,7541.1467,40,5,19,6,13,1959-01-24,1959-05-30
30,Charlie Brown,The Coasters,7483.1255,7408.1255,75,2,15,8,12,1959-01-31,1959-05-09
31,Sorry (I Ran All The Way Home),The Impalas,7470.9379,7395.9379,75,2,18,7,11,1959-03-14,1959-07-11
32,Kansas City,Wilbert Harrison,7459.1151,7339.1151,120,1,16,8,12,1959-04-11,1959-07-25
33,I Cried A Tear,Lavern Baker,7428.1252,7413.1252,15,6,17,3,14,1959-01-03,1959-04-25
34,Teen Beat,Sandy Nelson,7337.1407,7297.1407,40,4,16,8,12,1959-09-05,1959-12-19
35,Lonely Street,Andy Williams,7195.7126,7155.7126,40,5,16,6,11,1959-09-05,1959-12-19
36,Guitar Boogie Shuffle,The Virtues,7164.1420,7124.1420,40,5,16,6,12,1959-03-07,1959-06-20
37,Quiet Village,The Exotic Sounds Of Martin Denny,7161.8531,7121.8531,40,4,16,7,13,1959-04-11,1959-07-25
38,A Teenager In Love,Dion,7121.7670,7081.7670,40,5,15,7,13,1959-04-18,1959-07-25
39,Peter Gunn,Ray Anthony And His Orchestra,7066.9411,7051.9411,15,8,17,3,13,1959-01-03,1959-04-25
40,I'm Gonna Get Married,Lloyd Price,7046.0749,6971.0749,75,3,14,6,12,1959-08-08,1959-11-07
41,Waterloo,Stonewall Jackson,6940.8594,6900.8594,40,4,16,6,12,1959-05-23,1959-09-05
42,Deck Of Cards,Wink Martindale,6862.6735,6847.6735,15,7,16,5,12,1959-09-12,1959-12-26
43,Broken-Hearted Melody,Sarah Vaughan,6812.4005,6797.4005,15,7,19,4,11,1959-07-18,1959-11-21
44,Never Be Anyone Else But You,Ricky Nelson,6785.6982,6770.6982,15,6,16,6,12,1959-02-21,1959-06-06
45,Heartaches By The Number,Guy Mitchell,6777.3624,6657.3624,120,1,13,8,11,1959-10-03,1959-12-26
46,The All American Boy,Bill Parsons,6759.5663,6684.5663,75,2,14,5,12,1959-01-03,1959-04-04
47,In The Mood,Ernie Fields,6729.9064,6689.9064,40,4,15,4,12,1959-09-19,1959-12-26
48,Smoke Gets In Your Eyes,The Platters,6727.6316,6607.6316,120,1,12,7,11,1959-01-03,1959-03-21
49,Lonely Teardrops,Jackie Wilson,6719.5854,6704.5854,15,7,15,5,12,1959-01-03,1959-04-11
50,A Big Hunk O' Love,Elvis Presley,6713.6990,6593.6990,120,1,14,7,10,1959-07-04,1959-10-03
51,(Now and Then There's) A Fool Such As I,Elvis Presley,6699.6087,6624.6087,75,2,15,5,11,1959-03-21,1959-06-27
52,Poison Ivy,The Coasters,6679.3368,6664.3368,15,7,16,5,11,1959-08-22,1959-12-05
